Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
Supermicro,CSE-822T-400LPB,ivnt_Infrastructure,Chassis,"Chassis, 2U Rackmount 822T-400LPB, Dual Xeon, EATX, 6 SATA HS, 400W PS, Black",
SUSE,874-006883,,,Linux Enterprise,
Symantec,10803958,,,Storage Foundation Enteprise HA,
Symantec,10814393,,,Storage Foundation Standard HA,
Symantec,10803974,,,Storage Foundation Enteprise HA,
Symantec,10814444,,,Storage Foundation Standard HA,
Symantec,10877077,,,Storage Foundation Standard HA,
Symantec,11070442,,,Storage Foundation Enteprise,
Symantec,10900035,,,Storage Foundation Standard HA,
Symantec,11596478,,,Premium AntiSpam Add-on to Symantec Mail Security,
Symantec,12205165,,,pcAnywhere,
Symantec,12205112,,,pcAnywhere,
Symantec,12527142,,,NetBackup Standard Client,
Symantec,12527152,,,NetBackup Standard Client,
Symantec,12527307,,,NetBackup Enterprise Client,
Symantec,12527339,,,NetBackup Enterprise Client,
Symantec,12529746,,,NetBackup Enterprise Server,
Symantec,12530158,,,NetBackup Standard Server,
Symantec,12530041,,,NetBackup Standard Server,
Symantec,12531280,,,NetBackup Library Based Tape Drive,
Symantec,12707244,,,Multi-Tier Protection,
Symantec,12531297,,,NetBackup Library Based Tape Drive,
Symantec,12778775,,,Norton AntiVirus,
Symantec,12707348,,,Multi-Tier Protection,
Symantec,13102-M3-25,,,NetBackup Standard Client,
Symantec,13517991,,,Norton Ghost,
Symantec,13570870,,,Backup Exec for Windows Servers,
Symantec,13570989,,,Backup Exec for Windows Servers,
Symantec,13571864,,,Backup Exec for Windows Servers,
Symantec,13571981,,,Backup Exec for Windows Servers,
Symantec,13571891,,,Backup Exec for Windows Servers,
Symantec,13572509,,,Backup Exec Agent for Microsoft SQL Server,
Symantec,13572284,,,Backup Exec Agent for Microsoft Exchange Server,
Symantec,13573013,,,Backup Exec Agent for Microsoft Active Directory,
Symantec,13577779,,,Backup Exec System Recovery,
Symantec,13602886,,,Mobile Antivirus for Windows Mobile,
Symantec,13882265,,,Ghost Solution Suite,
Symantec,13602984,,,Mobile Antivirus for Windows Mobile,
Symantec,13882248,,,Ghost Solution Suite,
Symantec,13909787,,,Multi-Tier Protection,
Symantec,13905754,,,Storage Foundation Enteprise,
Symantec,13909746,,,Multi-Tier Protection,
Symantec,13909874,,,Multi-Tier Protection,
Symantec,14042777,,,Endpoint Protection,
Symantec,14042780,,,Endpoint Protection,
Symantec,14055201,,,Ghost Solution Suite,
Symantec,14055994,,,Multi-Tier Protection,
Symantec,14344822,,,pcAnywhere,
Symantec,20017639,,,Protection Suite Enterprise Edition,
Symantec,20017657,,,Protection Suite Enterprise Edition,
Symantec,20017764,,,Protection Suite Enterprise Edition,
Symantec,20090152,,,Backup Exec for Windows Servers,
Symantec,20090383,,,Backup Exec Agent for Microsoft Active Directory,
Symantec,20090777,,,Backup Exec Agent for Microsoft Exchange Server,
Symantec,20090514,,,Backup Exec for Windows Systems,
Symantec,20091695,,,Backup Exec Agent for Microsoft SQL Server,
Symantec,20683041,,,DeepSight Early Warning Services,
Symantec,20097637,,,Norton Ghost,
Symantec,20939572,,,NetBackup Standard Client,
Symantec,20940490,,,NetBackup Enterprise Client,
Symantec,20939581,,,NetBackup Standard Client,
Symantec,20942249,,,NetBackup Library Based Tape Drive,
Symantec,20942261,,,NetBackup Library Based Tape Drive,
Symantec,20942313,,,NetBackup NDMP,
